code,name,vol,silurian,devonian,penn_permian,upper_jurassic,mid_cretaceous,oligo_miocene,other,source,note
7203,West-central Coastal,13.7,0.00,0.00,0.00,0.00,0.80,0.00,0.20,usgs,"Bucomazi (Barremian lacustrine) and Cenomanian-Turonian marine; Congo and Gabon"
3808,Central Sumatra Basin,13.2,0.00,0.00,0.00,0.00,0.00,0.60,0.40,usgs,"Pematang (Eocene-Oligocene) lacustrine; Minas field"
1008,Timan-Pechora Basin,13.1,0.00,0.85,0.00,0.00,0.00,0.00,0.15,usgs,"Domanik (Upper Devonian)"
5031,Williston Basin,12,0.00,0.90,0.10,0.00,0.00,0.00,0.00,added,"Bakken and Three Forks (Devonian-Mississippian), US portion"
5049,Louisiana-Mississippi Salt Basins,12,0.00,0.00,0.00,0.90,0.00,0.00,0.10,added,"Smackover and Tuscaloosa"
6035,Campos Basin,10.1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Lagoa Feia (Barremian-Aptian lacustrine)"
5014,Los Angeles Basin,10,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Monterey (Miocene); among the most prolific basins per unit area on Earth"
2071,Red Sea Basin,9.9,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Miocene source and evaporite seal"
1109,Middle Caspian Basin,9.6,0.00,0.00,0.00,0.20,0.00,0.80,0.00,usgs,"Maykop; Jurassic secondary"
8043,Bombay,8.4,0.00,0.00,0.00,0.00,0.00,0.80,0.20,usgs,"Mumbai High, Eocene-Miocene"
5048,East Texas Basin,8,0.00,0.00,0.00,0.60,0.40,0.00,0.00,added,"Smackover and Bossier; Eagle Ford and Woodbine"
5058,Andarko Basin,8,0.00,0.45,0.50,0.00,0.00,0.00,0.05,added,"Woodford (Devonian-Mississippian) and Pennsylvanian sources"
3701,Baram Delta/Brunei-Sabah Basin,6.9,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Miocene deltaic"
5301,Tampico-Misantla Basin,6.9,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Tithonian source, Golden Lane"
3115,Junggar Basin,6.8,0.00,0.00,0.80,0.00,0.00,0.00,0.20,usgs,"Fengcheng (Permian) lacustrine"
6041,Putumayo-Oriente-Maranon Basin,6.6,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Napo and Chonta (Cenomanian-Turonian)"
5045,Bend Arch-Fort Worth Basin,6,0.00,0.60,0.40,0.00,0.00,0.00,0.00,added,"Barnett oil window and Pennsylvanian sources"
4061,Carpathian-Balkanian Basin,5.9,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Menilite (Oligocene); Ploiesti fields"
6096,Llanos Basin,5.4,0.00,0.00,0.00,0.00,0.80,0.20,0.00,usgs,"Gacheta (Cenomanian-Turonian)"
5013,Ventura Basin,5,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Monterey and Rincon (Miocene)"
5060,Cherokee Platform,5,0.00,0.20,0.80,0.00,0.00,0.00,0.00,added,"Pennsylvanian cyclothem shales; Woodford secondary"
2020,Interior Homocline-Central Arch,4.7,0.10,0.00,0.00,0.90,0.00,0.00,0.00,usgs,"Upper Jurassic; central Saudi Arabia"
2016,Fahud Salt Basin,4.5,0.00,0.00,0.00,0.00,0.50,0.00,0.50,usgs,"Natih (Cenomanian); Huqf (Neoproterozoic) in other"
5064,Illinois Basin,4.5,0.00,0.85,0.15,0.00,0.00,0.00,0.00,added,"New Albany Shale (Upper Devonian)"
5067,Appalachian Basin,4,0.00,0.80,0.00,0.00,0.00,0.00,0.20,added,"Devonian black shales; Ordovician in other"
3930,Gippsland Basin,3.9,0.00,0.00,0.00,0.00,0.30,0.00,0.70,usgs,"Latrobe Group, Late Cretaceous to Eocene"
2056,Illizi Basin,3.7,0.50,0.50,0.00,0.00,0.00,0.00,0.00,usgs,"Silurian Tanezzuft and Devonian sources"
3703,Malay Basin,3.6,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Oligocene-Miocene lacustrine and coaly"
5244,Williston Basin,3.5,0.00,0.90,0.10,0.00,0.00,0.00,0.00,usgs,"Bakken and Lodgepole, Canadian portion"
6058,San Jorge Basin,3.3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Pozo D-129 (Aptian lacustrine)"
3824,Northwest Java Basin,3.2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Oligocene-Miocene"
5012,Santa Maria Basin,3,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Monterey (Miocene)"
5033,Powder River Basin,3,0.00,0.00,0.00,0.00,0.70,0.00,0.30,added,"Mowry and Niobrara"
5039,Denver Basin,3,0.00,0.00,0.00,0.00,0.85,0.00,0.15,added,"Niobrara and Mowry"
5020,Uinta-Piceance Basins,3,0.00,0.00,0.00,0.00,0.30,0.00,0.70,added,"Green River Formation (Eocene lacustrine) in other; Mancos secondary"
5034,Big Horn Basin,3,0.00,0.20,0.30,0.00,0.50,0.00,0.00,added,"Mowry and Cody; Phosphoria (Permian) and Devonian secondary"
3817,Kutei Basin,2.9,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Miocene deltaic coals, Mahakam"
4017,Vestford-Helgeland,2.7,0.00,0.00,0.00,0.90,0.00,0.00,0.10,usgs,"Spekk and Draupne"
8034,Assam,2.5,0.00,0.00,0.00,0.00,0.00,0.60,0.40,usgs,"Eocene-Oligocene deltaic and coaly"
3828,South Sumatra Basin,2.4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Talang Akar, Oligocene-Miocene"
6090,Middle Magdelena,2.4,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"La Luna"
6055,Neuquen Basin,2.4,0.00,0.00,0.00,0.80,0.00,0.00,0.20,usgs,"Vaca Muerta (Tithonian); Los Molles in other"
1150,North Ustyurt Basin,2.4,0.00,0.00,0.00,0.60,0.00,0.00,0.40,usgs,"Jurassic sources"
5304,Saline-Comalcalco Basin,2.4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Tithonian source"
4035,Northwest German Basin,2.3,0.00,0.00,0.00,0.00,0.30,0.00,0.70,usgs,"Posidonia Shale (Lower Jurassic, Toarcian) in other; Wealden secondary. The gas here comes from Carboniferous coal instead"
2048,Pelagian Basin,2.2,0.00,0.00,0.00,0.00,0.70,0.30,0.00,usgs,"Bahloul (Cenomanian-Turonian)"
4048,Pannonian Basin,2.2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Miocene lacustrine"
1322,North Sakhalin Basin,2.2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Oligocene-Miocene"
1210,Nepa-Botuoba Arch,2.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,usgs,"Riphean-Vendian source, Siberian platform"
5011,Central Coastal,2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Monterey (Miocene)"
5093,Santa Barbara-Ventura Basin OCS,2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Monterey (Miocene), offshore California"
5037,Southwestern Wyoming,2,0.00,0.00,0.00,0.00,0.60,0.00,0.40,added,"Mowry and Hilliard"
5059,Sedgwick Basin,2,0.00,0.10,0.90,0.00,0.00,0.00,0.00,added,"Pennsylvanian sources"
5022,San Juan Basin,2,0.00,0.00,0.00,0.00,0.70,0.00,0.30,added,"Mancos (Turonian); Fruitland in other"
6081,Talara Basin,1.7,0.00,0.00,0.00,0.00,0.50,0.00,0.50,usgs,"Cretaceous and Eocene sources"
1009,Dnieper-Donets Basin,1.6,0.00,0.30,0.70,0.00,0.00,0.00,0.00,usgs,"Visean-Serpukhovian and Pennsylvanian"
5215,Labrador-Newfoundland Shelf,1.6,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Egret Member (Kimmeridgian); Hibernia"
5063,Michigan Basin,1.5,0.40,0.60,0.00,0.00,0.00,0.00,0.00,added,"Niagaran (Silurian) pinnacle reefs and Antrim-related Devonian sources"
5003,Southern Alaska,1.5,0.00,0.00,0.00,0.00,0.00,1.00,0.00,added,"Cook Inlet Tyonek (Miocene)"
2014,Ghaba Salt Basin,1.3,0.20,0.00,0.00,0.00,0.00,0.00,0.80,usgs,"Huqf (Neoproterozoic) in other; Sahmah (Silurian) secondary"
6059,Magallanes Basin,1.2,0.00,0.00,0.00,0.30,0.70,0.00,0.00,usgs,"Springhill (Lower Cretaceous); Jurassic secondary"
2004,Ma'Rib-Al Jawf Basin,1.2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Madbi (Upper Jurassic)"
2022,Qatar Arch,1.1,0.20,0.00,0.00,0.80,0.00,0.00,0.00,usgs,"Upper Jurassic for the small oil leg; the giant gas accumulation here is Silurian-sourced"
3948,Northwest Shelf,1.1,0.00,0.00,0.00,0.50,0.00,0.00,0.50,usgs,"Dingo claystone (Jurassic); Mungaroo (Triassic) in other"
5035,Wind River Basin,1,0.00,0.00,0.00,0.00,0.70,0.00,0.30,added,"Mowry and Cody"
5021,Paradox Basin,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,added,"Paradox Formation black shales (Pennsylvanian)"
5062,Arkoma Basin,1,0.00,0.70,0.30,0.00,0.00,0.00,0.00,added,"Woodford; Pennsylvanian secondary"
5098,Gulf Mesozoic OCS,1,0.00,0.00,0.00,0.70,0.30,0.00,0.00,added,"Smackover and Tithonian equivalents"
4047,North Carpathian Basin,0.9,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Menilite (Oligocene)"
1154,Amu-Darya Basin,0.8,0.00,0.00,0.00,0.80,0.00,0.00,0.20,usgs,"Upper Jurassic; overwhelmingly a gas province"
3702,Greater Sarawak Basin,0.8,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Oligocene-Miocene"
3154,Tarim Basin,0.7,0.00,0.00,0.40,0.00,0.00,0.00,0.60,usgs,"Cambrian-Ordovician in other; Carboniferous-Permian secondary"
6029,Sergipe-Alagoas Basin,0.7,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Aptian lacustrine and marine"
3128,Ordos Basin,0.7,0.00,0.00,0.15,0.00,0.00,0.00,0.85,usgs,"Yanchang Formation (Triassic lacustrine) in other; the gas here is Carboniferous-Permian instead"
3822,North Sumatra Basin,0.7,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Bampo and Baong"
8048,Irrawaddy,0.7,0.00,0.00,0.00,0.00,0.00,0.80,0.20,usgs,"Eocene-Miocene"
2074,Khleisha Uplift,0.7,0.50,0.00,0.00,0.00,0.50,0.00,0.00,usgs,"Silurian and Cretaceous sources"
2009,Masila-Jeza Basin,0.6,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Madbi (Upper Jurassic)"
2075,Euphrates/Mardin,0.6,0.40,0.00,0.00,0.00,0.60,0.00,0.00,usgs,"Silurian and Cretaceous sources"
4036,Anglo-Dutch Basin,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.00,usgs,"Posidonia and Lias (Lower Jurassic); the gas here is Westphalian coal instead"
1108,Azov-Kuban Basin,0.5,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Maykop"
3910,Bonaparte Gulf Basin,0.5,0.00,0.00,0.00,0.50,0.00,0.00,0.50,usgs,"Jurassic and Permian-Triassic sources"
2011,South Oman Salt Basin,0.5,0.00,0.00,0.00,0.00,0.00,0.00,1.00,usgs,"Huqf (Neoproterozoic)"
2058,Grand Erg/Ahnet Basin,0.5,0.70,0.30,0.00,0.00,0.00,0.00,0.00,usgs,"Silurian Tanezzuft; Frasnian secondary"
5065,Black Warrior Basin,0.5,0.00,0.30,0.70,0.00,0.00,0.00,0.00,added,"Pottsville and Chattanooga"
5009,Sacramento Basin,0.3,0.00,0.00,0.00,0.00,0.70,0.00,0.30,added,"Cretaceous marine shales"
4060,Po Basin,0.3,0.00,0.00,0.00,0.00,0.00,0.40,0.60,usgs,"Triassic sources in other; Miocene-Pliocene secondary"
8026,Kohat-Potwar,0.3,0.00,0.00,0.00,0.00,0.40,0.00,0.60,usgs,"Patala (Paleocene) in other; Cretaceous secondary"
6045,Santa Cruz-Tarija Basin,0.3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,usgs,"Los Monos (Devonian)"
6117,Greater Antilles Deformed Belt,0.3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Upper Jurassic"
7183,Gulf of Guinea,0.2,0.00,0.00,0.00,0.00,0.50,0.50,0.00,usgs,"Cretaceous and Tertiary sources"
5245,Rocky Mountain Deformed Belt,0.2,0.00,0.40,0.00,0.00,0.60,0.00,0.00,usgs,"Devonian and Cretaceous sources"
8042,Indus,0.2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Sembar (Lower Cretaceous)"
6083,Progreso Basin,0.2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Tertiary"
2089,Anah Graben,0.2,0.50,0.00,0.00,0.00,0.50,0.00,0.00,usgs,"Silurian and Cretaceous sources"
6034,Espirito Santo Basin,0.1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Aptian lacustrine"
5302,Veracruz Basin,0.1,0.00,0.00,0.00,0.60,0.00,0.40,0.00,usgs,"Tithonian; Tertiary secondary"
2006,Shabwah Basin,0.1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Madbi (Upper Jurassic)"
3142,Sichuan Basin,0.1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,usgs,"Triassic and older sources; a gas province, not an oil one"
2033,Sinai Basin,0.1,0.00,0.00,0.00,0.00,0.50,0.00,0.50,usgs,"Cretaceous and Carboniferous sources"
2015,Central Oman Platform,0.1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,usgs,"Huqf (Neoproterozoic)"
